# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.662851084      0.5262131818E+15 -0.7932770490E+13  0.5247310777E+15  0.1087011003E+13 -0.5023663683E+13  0.3933443724E+15 -0.7932770490E+13  0.1087011003E+13 -0.5023663683E+13
  -4.661851084      0.5534547228E+15 -0.8225260398E+13  0.5518718071E+15  0.1125745176E+13 -0.5420714646E+13  0.4143324724E+15 -0.8225260398E+13  0.1125745176E+13 -0.5420714646E+13
  -4.660851084      0.5820444937E+15 -0.8560167585E+13  0.5804134356E+15  0.1069165449E+13 -0.5802467725E+13  0.4359199442E+15 -0.8560167585E+13  0.1069165449E+13 -0.5802467725E+13
  -4.659851084      0.6117473513E+15 -0.8850363893E+13  0.6100550225E+15  0.1189822041E+13 -0.6024127634E+13  0.4584315950E+15 -0.8850363893E+13  0.1189822041E+13 -0.6024127634E+13
  -4.658851084      0.6426939339E+15 -0.9445704674E+13  0.6410537929E+15  0.1278688162E+13 -0.6195385050E+13  0.4823730475E+15 -0.9445704674E+13  0.1278688162E+13 -0.6195385050E+13
  -4.657851084      0.6752847159E+15 -0.1004291296E+14  0.6734084303E+15  0.1313097544E+13 -0.6431988823E+13  0.5071634014E+15 -0.1004291296E+14  0.1313097544E+13 -0.6431988823E+13
  -4.656851084      0.7093343284E+15 -0.1046613679E+14  0.7074395963E+15  0.1395440943E+13 -0.6824112708E+13  0.5333370054E+15 -0.1046613679E+14  0.1395440943E+13 -0.6824112708E+13
  -4.655851084      0.7447903433E+15 -0.1078763209E+14  0.7428951613E+15  0.1310746412E+13 -0.7120955416E+13  0.5604384769E+15 -0.1078763209E+14  0.1310746412E+13 -0.7120955416E+13
  -4.654851084      0.7812746871E+15 -0.1119903638E+14  0.7791872257E+15  0.1416918472E+13 -0.7759283547E+13  0.5886032715E+15 -0.1119903638E+14  0.1416918472E+13 -0.7759283547E+13
  -4.653851084      0.8201258045E+15 -0.1189107646E+14  0.8181934954E+15  0.1495860734E+13 -0.7791710758E+13  0.6181697820E+15 -0.1189107646E+14  0.1495860734E+13 -0.7791710758E+13
