# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.658851084      0.2692975578E+22  0.1146267197E+27  0.7886147472E+22 -0.1059083509E+25 -0.1763796315E+24  0.8798279711E+21 -0.1146448160E+27  0.1046773168E+25  0.1827429287E+24
  -4.657851084      0.2032043912E+23  0.1204607146E+27 -0.2159770533E+23 -0.1107712556E+25 -0.1814500333E+24  0.1037508714E+22 -0.1204522907E+27  0.1085862934E+25  0.1847781514E+24
  -4.656851084      0.1025187857E+23  0.1265624538E+27 -0.1587524968E+23 -0.1160362342E+25 -0.1852819610E+24  0.3637426972E+21 -0.1265599632E+27  0.1153612084E+25  0.1991411672E+24
  -4.655851084     -0.1810785559E+23  0.1329275697E+27  0.1349040020E+23 -0.1216998355E+25 -0.1918790609E+24  0.1071742107E+22 -0.1329274082E+27  0.1203714442E+25  0.1808459794E+24
  -4.654851084     -0.3069048110E+23  0.1394565582E+27  0.3737865899E+23 -0.1273728925E+25 -0.1991918641E+24 -0.2811433282E+22 -0.1394304472E+27  0.1319935675E+25  0.1954128818E+24
  -4.653851084     -0.5348208516E+22  0.1464168349E+27  0.4858502952E+22 -0.1329390771E+25 -0.2050116834E+24 -0.1299733867E+21 -0.1464408608E+27  0.1313004052E+25  0.2098561002E+24
  -4.652851084      0.1032405388E+23  0.1536550812E+27 -0.8590415845E+22 -0.1390572433E+25 -0.2121761265E+24  0.2823370262E+22 -0.1536598449E+27  0.1355767785E+25  0.2160730607E+24
  -4.651851084      0.2583302692E+23  0.1611874970E+27 -0.2719599769E+23 -0.1452742410E+25 -0.2166597372E+24  0.1390651388E+20 -0.1611955600E+27  0.1450843551E+25  0.2196547585E+24
  -4.650851084      0.1018388413E+23  0.1690568235E+27 -0.1233361701E+23 -0.1521290855E+25 -0.2215322794E+24 -0.1614007356E+21 -0.1690465639E+27  0.1534091356E+25  0.2311813882E+24
  -4.649851084     -0.4393619799E+23  0.1772762435E+27  0.4168121516E+23 -0.1592802072E+25 -0.2309439732E+24 -0.1017443778E+22 -0.1772576733E+27  0.1614956705E+25  0.2240663753E+24
  -4.648851084     -0.1087948124E+23  0.1858158241E+27  0.9593895916E+22 -0.1662415836E+25 -0.2389400381E+24 -0.1111083061E+22 -0.1858271588E+27  0.1682506475E+25  0.2328941176E+24
  -4.647851084      0.1588592478E+23  0.1947097849E+27 -0.7661026153E+22 -0.1733660807E+25 -0.2469284805E+24 -0.1333783589E+21 -0.1947173302E+27  0.1708253486E+25  0.2697292596E+24
  -4.646851084      0.4491691782E+23  0.2040697614E+27 -0.5006288810E+23 -0.1810937061E+25 -0.2504699068E+24  0.2256719995E+22 -0.2040711875E+27  0.1798559797E+25  0.2648841162E+24
  -4.645851084     -0.1437013064E+23  0.2138157417E+27  0.8905219334E+22 -0.1895492681E+25 -0.2597744957E+24  0.2059085193E+21 -0.2138424608E+27  0.1895517053E+25  0.2506365154E+24
  -4.644851084     -0.9365787941E+22  0.2239428243E+27  0.4065409364E+22 -0.1980351790E+25 -0.2666188441E+24 -0.1837414351E+22 -0.2239331812E+27  0.1993985868E+25  0.2527081554E+24
  -4.643851084     -0.3936136015E+23  0.2345131459E+27  0.4627348849E+23 -0.2069156592E+25 -0.2767002568E+24 -0.8198065713E+21 -0.2345338122E+27  0.2078441343E+25  0.2818031768E+24
  -4.642851084      0.1008405668E+23  0.2454742359E+27  0.7139216342E+21 -0.2157151382E+25 -0.2873797798E+24 -0.2022357897E+20 -0.2454911009E+27  0.2150613995E+25  0.2857820543E+24
  -4.641851084      0.3237280017E+23  0.2570429991E+27 -0.3973784710E+23 -0.2248979729E+25 -0.2947377161E+24  0.1217160620E+22 -0.2570128465E+27  0.2209055855E+25  0.3134824408E+24
  -4.640851084      0.2817366885E+23  0.2690617359E+27 -0.3252027057E+23 -0.2349471081E+25 -0.3010520929E+24  0.7602290951E+21 -0.2690834954E+27  0.2344851211E+25  0.3024710946E+24
  -4.639851084     -0.7486456936E+22  0.2815552430E+27  0.1347460140E+23 -0.2454514666E+25 -0.3099338878E+24  0.1462238379E+22 -0.2815446319E+27  0.2446493357E+25  0.3013031267E+24
  -4.638851084     -0.3224758116E+23  0.2945535405E+27  0.2245955333E+23 -0.2562008415E+25 -0.3197259673E+24 -0.2906113725E+22 -0.2945185149E+27  0.2600131204E+25  0.3103684003E+24
  -4.637851084     -0.1744403418E+23  0.3081582303E+27  0.2268117058E+23 -0.2673493922E+25 -0.3318925410E+24 -0.2242561440E+22 -0.3081847813E+27  0.2692748226E+25  0.3164675245E+24
  -4.636851084     -0.2941187854E+22  0.3223558118E+27  0.7456701751E+22 -0.2787848084E+25 -0.3422277741E+24  0.1353633572E+22 -0.3223341585E+27  0.2761181596E+25  0.3780956602E+24
  -4.635851084      0.4930247390E+23  0.3370783995E+27 -0.5100950219E+23 -0.2904876387E+25 -0.3510703684E+24  0.2812956036E+22 -0.3370962532E+27  0.2885134441E+25  0.3360599283E+24
  -4.634851084      0.2772052113E+23  0.3525231824E+27 -0.2715527171E+23 -0.3031692683E+25 -0.3610554562E+24  0.2315679813E+21 -0.3525115509E+27  0.3022420403E+25  0.3767221640E+24
  -4.633851084     -0.9636662949E+22  0.3686198498E+27  0.3848529962E+22 -0.3167319840E+25 -0.3714034518E+24 -0.9128817923E+20 -0.3685897604E+27  0.3175449344E+25  0.3654135306E+24
  -4.632851084     -0.4098812818E+23  0.3852402470E+27  0.3908865868E+23 -0.3303619000E+25 -0.3840559132E+24  0.3747344377E+21 -0.3852512007E+27  0.3319634133E+25  0.3719911362E+24
  -4.631851084     -0.9867144519E+21  0.4025955721E+27  0.7690744379E+22 -0.3442868750E+25 -0.3990732298E+24 -0.3106859842E+22 -0.4026115495E+27  0.3468790453E+25  0.3695002871E+24
  -4.630851084      0.3960750535E+22  0.4208663871E+27  0.8302206451E+22 -0.3586990285E+25 -0.4086817582E+24 -0.1767921332E+22 -0.4208648372E+27  0.3579005056E+25  0.4357952482E+24
  -4.629851084      0.3953675603E+23  0.4397656952E+27 -0.4391400315E+23 -0.3739433522E+25 -0.4206423233E+24  0.4193002518E+22 -0.4397858104E+27  0.3702304375E+25  0.4423284919E+24
