# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -6.016357147     -0.3992010827E+25  0.1430574775E+27  0.7345164907E+25  0.1700159776E+25  0.8643447567E+25 -0.4842264950E+24 -0.1377647106E+27 -0.4389467225E+25 -0.1810884126E+26
  -6.015357147     -0.4155058400E+25  0.1488913376E+27  0.7644897332E+25  0.1769488311E+25  0.8995914411E+25 -0.5040280251E+24 -0.1433829659E+27 -0.4568294562E+25 -0.1884717586E+26
  -6.014357147     -0.8094045793E+25  0.1581922236E+27  0.1135170386E+26  0.2765114293E+25  0.9901657596E+25  0.3633338650E+23 -0.1576633264E+27  0.3727965862E+24 -0.1945092134E+26
  -6.013357147     -0.8424508738E+25  0.1646429645E+27  0.1181492809E+26  0.2877891145E+25  0.1030542253E+26  0.3776727789E+23 -0.1640929289E+27  0.3883551759E+24 -0.2024390634E+26
  -6.012357147     -0.8768469639E+25  0.1713565318E+27  0.1229705288E+26  0.2995264713E+25  0.1072563802E+26  0.3925562451E+23 -0.1707845324E+27  0.4045773275E+24 -0.2106918527E+26
  -6.011357147     -0.9126480312E+25  0.1783436156E+27  0.1279884924E+26  0.3117422109E+25  0.1116297313E+26  0.4080031160E+23 -0.1777487964E+27  0.4214924927E+24 -0.2192807037E+26
  -6.010357147     -0.9499115170E+25  0.1856153394E+27  0.1332111960E+26  0.3244558043E+25  0.1161812408E+26  0.4240327341E+23 -0.1849968126E+27  0.4391315213E+24 -0.2282192698E+26
  -6.009357147     -0.9886972155E+25  0.1931832771E+27  0.1386469914E+26  0.3376875127E+25  0.1209181526E+26  0.4406649291E+23 -0.1925401225E+27  0.4575267345E+24 -0.2375217564E+26
  -6.008357147     -0.1029067370E+26  0.2010594717E+27  0.1443045706E+26  0.3514584194E+25  0.1258480041E+26  0.4579200127E+23 -0.2003907355E+27  0.4767120022E+24 -0.2472029431E+26
  -6.007357147     -0.8401737410E+25  0.2115785012E+27  0.1221167165E+26  0.4794553551E+25  0.1172352257E+26  0.2329925176E+23 -0.2113531557E+27  0.4473920721E+24 -0.2577742737E+26
  -6.006357147     -0.8744869987E+25  0.2202040642E+27  0.1270996666E+26  0.4990096766E+25  0.1220139761E+26  0.2416472157E+23 -0.2199703019E+27  0.4662526337E+24 -0.2682798550E+26
  -6.005357147     -0.8286180501E+25  0.2317209393E+27  0.1339966594E+26  0.5341730977E+25  0.1270870367E+26 -0.1168704939E+24 -0.2288834789E+27 -0.2958064698E+24 -0.3035516421E+26
  -6.004357147     -0.8736130456E+25  0.2411827109E+27  0.1430269200E+26  0.5579361245E+25  0.1367348880E+26 -0.7405685881E+24 -0.2407330950E+27  0.3180975261E+25 -0.3208571209E+26
  -6.003357147     -0.1024005234E+26  0.2548021790E+27  0.1467443591E+26  0.5671340201E+25  0.1423836842E+26 -0.8956574687E+24 -0.2504828377E+27  0.2255844739E+25 -0.2990684412E+26
  -6.002357147     -0.4329001370E+25  0.2812805646E+27  0.7690503029E+25  0.4074478881E+25  0.1516591281E+26 -0.1936315559E+25 -0.2639259129E+27  0.4029377132E+25 -0.2629061757E+26
  -6.001357147     -0.4506068584E+25  0.2927461523E+27  0.8004276950E+25  0.4240580131E+25  0.1578399060E+26 -0.2015457331E+25 -0.2746844747E+27  0.4194701590E+25 -0.2736143205E+26
  -6.000357147     -0.4690394965E+25  0.3046785207E+27  0.8330849337E+25  0.4413445002E+25  0.1642722152E+26 -0.2097838830E+25 -0.2858810654E+27  0.4366846201E+25 -0.2847577053E+26
  -5.999357147     -0.4882279483E+25  0.3170966247E+27  0.8670741916E+25  0.4593348266E+25  0.1709662620E+26 -0.2183593088E+25 -0.2975334752E+27  0.4546095345E+25 -0.2963539456E+26
  -5.998357147     -0.5082033533E+25  0.3300201850E+27  0.9024497657E+25  0.4780575804E+25  0.1779326640E+26 -0.2272858638E+25 -0.3096602131E+27  0.4732745507E+25 -0.3084213637E+26
  -5.997357147     -0.5289981464E+25  0.3434697186E+27  0.9392681634E+25  0.4975425051E+25  0.1851824669E+26 -0.2365779735E+25 -0.3222805358E+27  0.4927105808E+25 -0.3209790166E+26
  -5.996357147     -0.5506461118E+25  0.3574665706E+27  0.9775881919E+25  0.5178205458E+25  0.1927271616E+26 -0.2462506604E+25 -0.3354144774E+27  0.5129498569E+25 -0.3340467246E+26
  -5.995357147     -0.5731824413E+25  0.3720329471E+27  0.1017471052E+26  0.5389238972E+25  0.2005787015E+26 -0.2563195684E+25 -0.3490828807E+27  0.5340259893E+25 -0.3476451014E+26
  -5.994357147     -0.5966437930E+25  0.3871919499E+27  0.1058980436E+26  0.5608860534E+25  0.2087495212E+26 -0.2668009893E+25 -0.3633074290E+27  0.5559740282E+25 -0.3617955853E+26
  -5.993357147     -0.6210683546E+25  0.4029676116E+27  0.1102182625E+26  0.5837418600E+25  0.2172525555E+26 -0.2777118894E+25 -0.3781106801E+27  0.5788305278E+25 -0.3765204714E+26
  -5.992357147     -0.6464959077E+25  0.4193849331E+27  0.1147146601E+26  0.6075275677E+25  0.2261012590E+26 -0.2890699387E+25 -0.3935161008E+27  0.6026336139E+25 -0.3918429448E+26
  -5.991357147     -0.9020309859E+25  0.4401313073E+27  0.1202421576E+26  0.5470624576E+25  0.2322059588E+26 -0.2467024956E+25 -0.4105596889E+27  0.7565890922E+25 -0.4426865024E+26
  -5.990357147     -0.1190561784E+26  0.4641164590E+27  0.1716143484E+26  0.5343272572E+25  0.2389750299E+26 -0.2588910158E+25 -0.4292156188E+27  0.7726480805E+25 -0.4570843916E+26
  -5.989357147     -0.1239250738E+26  0.4830216659E+27  0.1786157143E+26  0.5560867114E+25  0.2487055208E+26 -0.2694877663E+25 -0.4466997391E+27  0.8044091144E+25 -0.4756828090E+26
  -5.988357147     -0.1289935081E+26  0.5026954374E+27  0.1859026114E+26  0.5787302865E+25  0.2588312705E+26 -0.2805195599E+25 -0.4648946986E+27  0.8374852329E+25 -0.4950356277E+26
  -5.987357147     -0.1342696933E+26  0.5231688923E+27  0.1934866750E+26  0.6022937399E+25  0.2693682565E+26 -0.2920043640E+25 -0.4838292831E+27  0.8719316599E+25 -0.5151732527E+26
  -5.986357147     -0.1543411656E+26  0.5463892377E+27  0.2179422083E+26  0.6983124564E+25  0.2865172559E+26 -0.1031637808E+25 -0.5047944281E+27  0.4983665978E+25 -0.4823505454E+26
  -5.985357147     -0.1606537897E+26  0.5686386022E+27  0.2268332767E+26  0.7267463467E+25  0.2981795851E+26 -0.1074176258E+25 -0.5253507471E+27  0.5190209726E+25 -0.5019594162E+26
  -5.984357147     -0.1672251778E+26  0.5917918914E+27  0.2360869126E+26  0.7563352558E+25  0.3103153163E+26 -0.1118486807E+25 -0.5467422690E+27  0.5405443116E+25 -0.5223622111E+26
  -5.983357147     -0.1762959135E+26  0.6257283055E+27  0.2489633053E+26  0.8596864617E+25  0.3387446425E+26 -0.1766265039E+25 -0.5780286412E+27  0.7409006054E+25 -0.5857904419E+26
  -5.982357147     -0.1835082312E+26  0.6512022070E+27  0.2591194299E+26  0.8946883202E+25  0.3525300607E+26 -0.1838899268E+25 -0.6015615711E+27  0.7715370249E+25 -0.6096000083E+26
  -5.981357147     -0.1910163334E+26  0.6777105209E+27  0.2696896686E+26  0.9311117587E+25  0.3668748334E+26 -0.1914543290E+25 -0.6260501750E+27  0.8034566773E+25 -0.6343732111E+26
  -5.980357147     -0.1988324095E+26  0.7052950309E+27  0.2806908900E+26  0.9690142215E+25  0.3818015198E+26 -0.1993323678E+25 -0.6515330630E+27  0.8367146309E+25 -0.6601487104E+26
  -5.979357147     -0.2069691556E+26  0.7339991905E+27  0.2921406482E+26  0.1008455450E+26  0.3973335776E+26 -0.2075372476E+25 -0.6780503887E+27  0.8713684204E+25 -0.6869666885E+26
  -5.978357147     -0.2154397968E+26  0.7638681879E+27  0.3040572110E+26  0.1049497571E+26  0.4134953977E+26 -0.2160827445E+25 -0.7056439091E+27  0.9074781652E+25 -0.7148689083E+26
  -5.977357147     -0.1981702332E+26  0.7961776532E+27  0.2812072732E+26  0.1122869592E+26  0.4215140663E+26 -0.2037846419E+25 -0.7418422187E+27  0.1125454663E+26 -0.7354050679E+26
  -5.976357147     -0.2267132120E+26  0.8390718570E+27  0.3204917863E+26  0.1188637394E+26  0.4391851689E+26 -0.2042896464E+25 -0.7725665718E+27  0.1091641417E+26 -0.7239311853E+26
  -5.975357147     -0.1760188546E+26  0.8762778158E+27  0.2574890379E+26  0.1282605770E+26  0.4457478914E+26 -0.1839322073E+25 -0.8188480070E+27  0.1515537395E+26 -0.7339106995E+26
  -5.974357147     -0.1909455199E+26  0.9127094430E+27  0.2765576756E+26  0.1299760192E+26  0.4600588425E+26 -0.7290582725E+24 -0.8529958556E+27  0.1839231784E+26 -0.7903826111E+26
  -5.973357147     -0.1798564012E+26  0.9538359483E+27  0.2636420484E+26  0.1368932431E+26  0.4812107160E+26 -0.4011815632E+25 -0.8891408543E+27  0.1995512435E+26 -0.8638458969E+26
  -5.972357147     -0.1618193987E+26  0.1000110337E+28  0.2619359272E+26  0.1345198540E+26  0.5010529220E+26 -0.3672219902E+25 -0.9550940531E+27  0.1818978614E+26 -0.9467659185E+26
  -5.971357147     -0.1705387009E+26  0.1049199575E+28  0.2810383129E+26  0.1488512202E+26  0.5239899078E+26 -0.4035962653E+25 -0.9949418563E+27  0.1694432219E+26 -0.1040268247E+27
  -5.970357147     -0.1701107674E+26  0.1100783889E+28  0.2795824436E+26  0.1507362173E+26  0.5459924213E+26 -0.4469027753E+25 -0.1036837445E+28  0.1557793608E+26 -0.1020441646E+27
  -5.969357147     -0.1799642994E+26  0.1146002608E+28  0.2874632876E+26  0.1528440599E+26  0.5725348819E+26 -0.6114189753E+25 -0.1089290450E+28  0.1837255932E+26 -0.1045158725E+27
  -5.968357147     -0.1873622778E+26  0.1192580558E+28  0.2991819895E+26  0.1590564428E+26  0.5957815418E+26 -0.6365372593E+25 -0.1133571275E+28  0.1913439606E+26 -0.1087516574E+27
  -5.967357147     -0.2649400883E+26  0.1245974925E+28  0.4228624705E+26  0.1689543318E+26  0.6277305173E+26 -0.6419749155E+25 -0.1195441201E+28  0.1571252531E+26 -0.1101825250E+27
  -5.966357147     -0.2401464555E+26  0.1298561312E+28  0.4138662744E+26  0.1697640020E+26  0.6613094718E+26 -0.5967846652E+25 -0.1248795052E+28  0.1215160574E+26 -0.1169631807E+27
  -5.965357147     -0.2500145380E+26  0.1351313629E+28  0.4307395122E+26  0.1766600617E+26  0.6881469650E+26 -0.6213502634E+25 -0.1299538371E+28  0.1266279182E+26 -0.1216989823E+27
  -5.964357147     -0.2465067028E+26  0.1406250531E+28  0.4462626443E+26  0.1860714701E+26  0.7072815747E+26 -0.6783130796E+25 -0.1357748870E+28  0.1126228399E+26 -0.1266977076E+27
  -5.963357147     -0.2997247082E+26  0.1476038996E+28  0.4864896361E+26  0.2116758094E+26  0.7394660907E+26 -0.7713824695E+25 -0.1419082955E+28  0.8146289282E+25 -0.1273397979E+27
  -5.962357147     -0.3120419579E+26  0.1535968713E+28  0.5063217233E+26  0.2202735470E+26  0.7694525487E+26 -0.8031290858E+25 -0.1476716238E+28  0.8498081666E+25 -0.1324889856E+27
  -5.961357147     -0.3786479298E+26  0.1606071438E+28  0.5916255363E+26  0.2176495058E+26  0.7905852834E+26 -0.7347198330E+25 -0.1541199524E+28  0.1421467175E+26 -0.1457631187E+27
  -5.960357147     -0.3558575115E+26  0.1674607009E+28  0.5900105903E+26  0.2289981227E+26  0.8206950962E+26 -0.7400780524E+25 -0.1606711336E+28  0.1862060599E+26 -0.1483306920E+27
  -5.959357147     -0.3704879586E+26  0.1742557202E+28  0.6140609216E+26  0.2382917677E+26  0.8539450213E+26 -0.7706181409E+25 -0.1671926267E+28  0.1940493215E+26 -0.1543237021E+27
  -5.958357147     -0.3857241866E+26  0.1813248059E+28  0.6390902365E+26  0.2479603791E+26  0.8885317978E+26 -0.8024320284E+25 -0.1739773210E+28  0.2022324553E+26 -0.1605562981E+27
  -5.957357147     -0.3967741365E+26  0.1893468776E+28  0.6413656382E+26  0.2473960310E+26  0.9282887580E+26 -0.7883319375E+25 -0.1810528593E+28  0.2086284875E+26 -0.1700085828E+27
  -5.956357147     -0.4239182111E+26  0.1971056898E+28  0.6749795032E+26  0.2536509214E+26  0.9623863973E+26 -0.7156003369E+25 -0.1884961862E+28  0.2476239534E+26 -0.1791341866E+27
  -5.955357147     -0.3992695748E+26  0.2055679725E+28  0.6657592782E+26  0.2608562157E+26  0.1003720115E+27 -0.7698578752E+25 -0.1964673996E+28  0.2917287755E+26 -0.1825861002E+27
  -5.954357147     -0.4157228202E+26  0.2138990510E+28  0.6928860157E+26  0.2714246328E+26  0.1044320949E+27 -0.8017748970E+25 -0.2044323992E+28  0.3039942371E+26 -0.1899476726E+27
  -5.953357147     -0.4856271944E+26  0.2233707117E+28  0.7886451315E+26  0.3029189615E+26  0.1103737986E+27 -0.7123139897E+25 -0.2131605053E+28  0.2852025242E+26 -0.1927810455E+27
  -5.952357147     -0.4711173976E+26  0.2338750287E+28  0.7780432546E+26  0.2996062931E+26  0.1131812991E+27 -0.8789150651E+25 -0.2221160907E+28  0.2667773082E+26 -0.2052700500E+27
  -5.951357147     -0.4905440429E+26  0.2433456462E+28  0.8097394477E+26  0.3117352094E+26  0.1177544307E+27 -0.9154138560E+25 -0.2311135943E+28  0.2781187347E+26 -0.2135332770E+27
  -5.950357147     -0.5107794838E+26  0.2531966549E+28  0.8427240855E+26  0.3243509650E+26  0.1225104147E+27 -0.9534530099E+25 -0.2404727474E+28  0.2899594314E+26 -0.2221243511E+27
  -5.949357147     -0.5318579741E+26  0.2634430761E+28  0.8770492746E+26  0.3374727535E+26  0.1274564037E+27 -0.9930994201E+25 -0.2502078539E+28  0.3023226323E+26 -0.2310558850E+27
  -5.948357147     -0.5538152590E+26  0.2741005033E+28  0.9127692023E+26  0.3511204960E+26  0.1325998169E+27 -0.1034423020E+26 -0.2603337647E+28  0.3152327362E+26 -0.2403409439E+27
  -5.947357147     -0.5766886421E+26  0.2851851221E+28  0.9499402171E+26  0.3653148663E+26  0.1379483495E+27 -0.1077496932E+26 -0.2708658965E+28  0.3287153693E+26 -0.2499930591E+27
  -5.946357147     -0.6005170561E+26  0.2967137306E+28  0.9886209111E+26  0.3800773169E+26  0.1435099811E+27 -0.1122397617E+26 -0.2818202519E+28  0.3427974516E+26 -0.2600262420E+27
  -5.945357147     -0.6253411364E+26  0.3087037607E+28  0.1028872207E+27  0.3954301053E+26  0.1492929853E+27 -0.1169205042E+26 -0.2932134400E+28  0.3575072674E+26 -0.2704549974E+27
  -5.944357147     -0.6512032986E+26  0.3211732997E+28  0.1070757446E+27  0.4113963208E+26  0.1553059393E+27 -0.1218002848E+26 -0.3050626971E+28  0.3728745388E+26 -0.2812943380E+27
  -5.943357147     -0.6781478186E+26  0.3341411126E+28  0.1114342481E+27  0.4279999126E+26  0.1615577333E+27 -0.1268878529E+26 -0.3173859087E+28  0.3889305045E+26 -0.2925597980E+27
  -5.942357147     -0.7062209179E+26  0.3476266650E+28  0.1159695769E+27  0.4452657182E+26  0.1680575806E+27 -0.1321923620E+26 -0.3302016309E+28  0.4057080015E+26 -0.3042674474E+27
  -5.941357147     -0.7354708510E+26  0.3616501462E+28  0.1206888474E+27  0.4632194918E+26  0.1748150272E+27 -0.1377233899E+26 -0.3435291139E+28  0.4232415526E+26 -0.3164339064E+27
  -5.940357147     -0.7659479987E+26  0.3762324934E+28  0.1255994561E+27  0.4818879344E+26  0.1818399626E+27 -0.1434909589E+26 -0.3573883248E+28  0.4415674578E+26 -0.3290763588E+27
  -5.939357147     -0.7977049640E+26  0.3913954160E+28  0.1307090909E+27  0.5012987238E+26  0.1891426296E+27 -0.1495055582E+26 -0.3717999714E+28  0.4607238911E+26 -0.3422125671E+27
  -5.938357147     -0.8307966734E+26  0.4071614204E+28  0.1360257411E+27  0.5214805450E+26  0.1967336351E+27 -0.1557781665E+26 -0.3867855270E+28  0.4807510021E+26 -0.3558608855E+27
  -5.937357147     -0.8652804825E+26  0.4235538358E+28  0.1415577089E+27  0.5424631217E+26  0.2046239605E+27 -0.1623202764E+26 -0.4023672547E+28  0.5016910235E+26 -0.3700402742E+27
  -5.936357147     -0.9012162861E+26  0.4405968398E+28  0.1473136205E+27  0.5642772478E+26  0.2128249727E+27 -0.1691439196E+26 -0.4185682333E+28  0.5235883837E+26 -0.3847703131E+27
  -5.935357147     -0.9386666334E+26  0.4583154853E+28  0.1533024383E+27  0.5869548193E+26  0.2213484346E+27 -0.1762616936E+26 -0.4354123828E+28  0.5464898254E+26 -0.4000712148E+27
  -5.934357147     -0.9776968483E+26  0.4767357268E+28  0.1595334723E+27  0.6105288671E+26  0.2302065162E+27 -0.1836867898E+26 -0.4529244915E+28  0.5704445304E+26 -0.4159638378E+27
  -5.933357147     -0.1018375155E+27  0.4958844480E+28  0.1660163931E+27  0.6350335898E+26  0.2394118056E+27 -0.1914330225E+26 -0.4711302425E+28  0.5955042509E+26 -0.4324696991E+27
  -5.932357147     -0.1060772809E+27  0.5157894897E+28  0.1727612441E+27  0.6605043862E+26  0.2489773195E+27 -0.1995148598E+26 -0.4900562410E+28  0.6217234463E+26 -0.4496109861E+27
  -5.931357147     -0.1104964232E+27  0.5364796773E+28  0.1797784546E+27  0.6869778894E+26  0.2589165149E+27 -0.2079474563E+26 -0.5097300425E+28  0.6491594279E+26 -0.4674105682E+27
  -5.930357147     -0.1151027158E+27  0.5579848497E+28  0.1870788531E+27  0.7144919993E+26  0.2692432991E+27 -0.2167466864E+26 -0.5301801806E+28  0.6778725098E+26 -0.4858920075E+27
  -5.929357147     -0.1199042777E+27  0.5803358873E+28  0.1946736809E+27  0.7430859167E+26  0.2799720415E+27 -0.2259291799E+26 -0.5514361961E+28  0.7079261667E+26 -0.5050795689E+27
  -5.928357147     -0.1249095892E+27  0.6035647416E+28  0.2025746056E+27  0.7728001761E+26  0.2911175836E+27 -0.2355123595E+26 -0.5735286655E+28  0.7393871989E+26 -0.5249982294E+27
  -5.927357147     -0.1301275078E+27  0.6277044632E+28  0.2107937356E+27  0.8036766791E+26  0.3026952500E+27 -0.2455144792E+26 -0.5964892303E+28  0.7723259054E+26 -0.5456736856E+27
  -5.926357147     -0.1355672849E+27  0.6527892317E+28  0.2193436339E+27  0.8357587269E+26  0.3147208584E+27 -0.2559546656E+26 -0.6203506263E+28  0.8068162628E+26 -0.5671323613E+27
  -5.925357147     -0.1412385831E+27  0.6788543843E+28  0.2282373328E+27  0.8690910530E+26  0.3272107301E+27 -0.2668529598E+26 -0.6451467136E+28  0.8429361126E+26 -0.5894014127E+27
  -5.924357147     -0.1471514942E+27  0.7059364447E+28  0.2374883485E+27  0.9037198546E+26  0.3401816997E+27 -0.2782303622E+26 -0.6709125057E+28  0.8807673558E+26 -0.6125087327E+27
  -5.923357147     -0.1533165576E+27  0.7340731522E+28  0.2471106957E+27  0.9396928237E+26  0.3536511246E+27 -0.2901088787E+26 -0.6976842000E+28  0.9203961541E+26 -0.6364829536E+27
  -5.922357147     -0.1597447798E+27  0.7633034902E+28  0.2571189025E+27  0.9770591772E+26  0.3676368937E+27 -0.3025115695E+26 -0.7254992065E+28  0.9619131386E+26 -0.6613534478E+27
  -5.921357147     -0.1713205117E+27  0.7950548136E+28  0.2697556742E+27  0.1015827175E+27  0.3821567540E+27 -0.3154660186E+26 -0.7544744354E+28  0.1001493592E+27 -0.6860344565E+27
  -5.920357147     -0.1785088841E+27  0.8266510823E+28  0.2806722148E+27  0.1056132455E+27  0.3972310208E+27 -0.3289908473E+26 -0.7844964913E+28  0.1046917841E+27 -0.7127430322E+27
  -5.919357147     -0.1860045512E+27  0.8594679846E+28  0.2920251362E+27  0.1097988128E+27  0.4128785716E+27 -0.3431158738E+26 -0.8156817942E+28  0.1094524647E+27 -0.7404385588E+27
  -5.918357147     -0.1893740804E+27  0.8948300404E+28  0.3031438936E+27  0.1142606748E+27  0.4291132899E+27 -0.3579059745E+26 -0.8480967840E+28  0.1142999454E+27 -0.7695635041E+27
  -5.917357147     -0.1973436910E+27  0.9302748241E+28  0.3153927576E+27  0.1187778832E+27  0.4459680112E+27 -0.3733176380E+26 -0.8817385981E+28  0.1195250203E+27 -0.7993470510E+27
  -5.916357147     -0.2056552030E+27  0.9670795368E+28  0.3281292895E+27  0.1234674972E+27  0.4634580032E+27 -0.3894170030E+26 -0.9166754854E+28  0.1250029551E+27 -0.8302170106E+27
  -5.915357147     -0.2143235529E+27  0.1005292816E+29  0.3413721421E+27  0.1283355845E+27  0.4816050794E+27 -0.4062360362E+26 -0.9529541651E+28  0.1307465380E+27 -0.8622077111E+27
  -5.914357147     -0.2233634621E+27  0.1044964972E+29  0.3551387121E+27  0.1333881941E+27  0.5004317996E+27 -0.4236255115E+26 -0.9906228699E+28  0.1366862186E+27 -0.8955614985E+27
  -5.913357147     -0.2322254051E+27  0.1086152170E+29  0.3681397462E+27  0.1386295111E+27  0.5200287570E+27 -0.4419338074E+26 -0.1031216556E+29  0.1420226038E+27 -0.9299939882E+27
  -5.912357147     -0.2420372656E+27  0.1128897857E+29  0.3829661962E+27  0.1440710206E+27  0.5402865507E+27 -0.4611095433E+26 -0.1071876052E+29  0.1486029578E+27 -0.9655716391E+27
  -5.911357147     -0.2522714578E+27  0.1173261432E+29  0.3983778200E+27  0.1497169827E+27  0.5612946019E+27 -0.4811482424E+26 -0.1114081312E+29  0.1555049169E+27 -0.1002414136E+28
  -5.910357147     -0.2629463499E+27  0.1219299000E+29  0.4143964507E+27  0.1555743234E+27  0.5830776283E+27 -0.5020901101E+26 -0.1157886578E+29  0.1627446052E+27 -0.1040558816E+28
  -5.909357147     -0.2741620772E+27  0.1267083528E+29  0.4311769527E+27  0.1616769644E+27  0.6056840934E+27 -0.5270714200E+26 -0.1203354644E+29  0.1712732169E+27 -0.1081810764E+28
  -5.908357147     -0.2857798713E+27  0.1316644192E+29  0.4484832173E+27  0.1679796171E+27  0.6290944532E+27 -0.5500740294E+26 -0.1250529161E+29  0.1792778841E+27 -0.1122745837E+28
