# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
   7.071140150     -0.3282223578E+23  0.2253297504E+27  0.3852016735E+23 -0.1361462277E+25  0.6686292555E+24 -0.4306089178E+23 -0.2253940006E+27  0.1450643172E+25 -0.8519386442E+24
   7.072140150      0.8740408819E+23  0.2367869498E+27 -0.8112683370E+23 -0.1446864796E+25  0.5714047437E+24  0.1883752139E+23 -0.2367723909E+27  0.1489013202E+25 -0.8047827534E+24
   7.073140150      0.2141531533E+24  0.2490236013E+27 -0.1616084873E+24 -0.1500465021E+25  0.4979367277E+24  0.2730349965E+23 -0.2489798415E+27  0.1466899776E+25 -0.6134775688E+24
   7.074140150      0.6020887548E+23  0.2622568935E+27  0.3111393248E+23 -0.1524220636E+25  0.6906940692E+24  0.4601639591E+23 -0.2622426214E+27  0.1614224978E+25 -0.7149995969E+24
   7.075140150     -0.1825548245E+24  0.2766391066E+27  0.7078242792E+23 -0.1544304784E+25  0.9241832014E+24 -0.4600721736E+23 -0.2764980040E+27  0.1362818468E+25 -0.3883221241E+24
   7.076140150     -0.9956855495E+23  0.2912012271E+27  0.6282134408E+23 -0.1559251806E+25  0.8860100203E+24 -0.9896450932E+23 -0.2911937639E+27  0.1440558567E+25 -0.8371692991E+24
   7.077140150     -0.2307009384E+23  0.3061452972E+27 -0.1307342604E+24 -0.1712597184E+25  0.8309533913E+24  0.8817765594E+22 -0.3063292702E+27  0.1689637832E+25 -0.9069849404E+24
   7.078140150      0.1334693225E+24  0.3219052902E+27  0.1145743715E+23 -0.1702757435E+25  0.8337075597E+24  0.1139231315E+24 -0.3219303023E+27  0.1856766921E+25 -0.1025442862E+25
   7.079140150      0.4611774223E+23  0.3381093522E+27  0.2380354027E+23 -0.1828483562E+25  0.9256342330E+24  0.3261736547E+23 -0.3381715701E+27  0.1702025055E+25 -0.8209114034E+24
   7.080140150      0.9248018679E+23  0.3548689548E+27 -0.3457843403E+23 -0.1899774348E+25  0.1005836317E+25  0.2874036271E+23 -0.3546543817E+27  0.2046328560E+25 -0.8496438715E+24
   7.081140150     -0.3896504198E+23  0.3721272551E+27 -0.5082169598E+23 -0.1971446509E+25  0.9930805273E+24 -0.3808870483E+23 -0.3721920101E+27  0.2059557339E+25 -0.1162830181E+25
   7.082140150     -0.1051078804E+24  0.3902974616E+27  0.1430242572E+24 -0.2054712186E+25  0.1093724393E+25 -0.4074566224E+21 -0.3904740026E+27  0.2396766408E+25 -0.1192544601E+25
   7.083140150     -0.4998765557E+23  0.4094453690E+27  0.1463985872E+24 -0.2209286496E+25  0.1155940196E+25  0.3651745888E+22 -0.4093031572E+27  0.2314837390E+25 -0.1399111209E+25
   7.084140150     -0.3062629722E+23  0.4295686835E+27 -0.8794120052E+23 -0.2276193148E+25  0.1078584512E+25 -0.3084098349E+23 -0.4294540088E+27  0.2102639489E+25 -0.1051561552E+25
   7.085140150      0.1159998030E+24  0.4509519096E+27 -0.7059737964E+23 -0.2392717300E+25  0.9629251595E+24  0.3911676664E+23 -0.4509210101E+27  0.1920567750E+25 -0.1071216623E+25
   7.086140150      0.2711798005E+23  0.4735524404E+27 -0.1836644945E+22 -0.2295303588E+25  0.1135436003E+25 -0.6217645907E+22 -0.4734391213E+27  0.2431367685E+25 -0.9443092747E+24
   7.087140150      0.2401263342E+22  0.4963869516E+27 -0.1068277106E+24 -0.2482503485E+25  0.1275849699E+25 -0.6531461465E+23 -0.4963893636E+27  0.2481190809E+25 -0.1288904262E+25
   7.088140150      0.4641884122E+23  0.5201256342E+27 -0.1750828023E+23 -0.2521655732E+25  0.1280309632E+25 -0.1690925726E+23 -0.5203350577E+27  0.2471597808E+25 -0.1381582591E+25
   7.089140150     -0.1146451375E+24  0.5453252547E+27  0.6313347352E+23 -0.2502461521E+25  0.1448017018E+25  0.2008240993E+22 -0.5455311131E+27  0.2629162804E+25 -0.1330719579E+25
   7.090140150     -0.9630373451E+22  0.5724119630E+27 -0.2218781691E+24 -0.2795257809E+25  0.1404652768E+25 -0.3569959286E+23 -0.5722849626E+27  0.2710290359E+25 -0.1380278986E+25
   7.091140150     -0.3384387981E+23  0.5995721526E+27  0.1734332504E+24 -0.2871665698E+25  0.1492279694E+25  0.7536234248E+23 -0.5995858095E+27  0.2686283326E+25 -0.1555693342E+25
   7.092140150      0.2053641657E+24  0.6277345795E+27 -0.3409571288E+23 -0.2834570651E+25  0.1523898825E+25  0.5190207772E+23 -0.6276877664E+27  0.2922600200E+25 -0.1488756738E+25
   7.093140150     -0.1492551577E+23  0.6568646613E+27  0.4918842323E+23 -0.3020714648E+25  0.1721200931E+25  0.4294878269E+23 -0.6567394332E+27  0.3206519417E+25 -0.1589238858E+25
   7.094140150     -0.3976993316E+22  0.6872133375E+27 -0.1139652190E+24 -0.3216978286E+25  0.1696364116E+25 -0.6604152346E+22 -0.6871146575E+27  0.3253563174E+25 -0.1865737934E+25
   7.095140150     -0.1898860607E+24  0.7190572350E+27  0.2074015239E+24 -0.3353931307E+25  0.1891179831E+25 -0.7580613729E+23 -0.7190447607E+27  0.3508993662E+25 -0.2050981035E+25
   7.096140150     -0.6969990136E+23  0.7525838129E+27  0.5224937930E+23 -0.3374308186E+25  0.1980998640E+25  0.2899614829E+23 -0.7528522328E+27  0.3550572881E+25 -0.2108319237E+25
