# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
   7.071140150      0.1328952829E+16  0.3998482513E+13  0.1320040404E+16 -0.2930975695E+13 -0.3462993591E+13  0.1744381327E+16  0.3998482513E+13 -0.2930975695E+13 -0.3462993591E+13
   7.072140150      0.1395740126E+16  0.2961438114E+13  0.1386499253E+16 -0.2195611322E+13 -0.4001634374E+13  0.1832635475E+16  0.2961438114E+13 -0.2195611322E+13 -0.4001634374E+13
   7.073140150      0.1467185081E+16  0.2609495789E+13  0.1457939913E+16 -0.1365307882E+13 -0.3925064195E+13  0.1924871280E+16  0.2609495789E+13 -0.1365307882E+13 -0.3925064195E+13
   7.074140150      0.1543871248E+16  0.3579743904E+13  0.1534134428E+16 -0.2249958699E+13 -0.4576023022E+13  0.2023216983E+16  0.3579743904E+13 -0.2249958699E+13 -0.4576023022E+13
   7.075140150      0.1626441938E+16  0.4047109113E+13  0.1616006304E+16 -0.7669186295E+12 -0.3432899822E+13  0.2129087269E+16  0.4047109113E+13 -0.7669186295E+12 -0.3432899822E+13
   7.076140150      0.1711285933E+16  0.4414918819E+13  0.1700514082E+16 -0.2730585054E+13 -0.3199434805E+13  0.2241128003E+16  0.4414918819E+13 -0.2730585054E+13 -0.3199434805E+13
   7.077140150      0.1799025788E+16  0.3848233793E+13  0.1788974840E+16 -0.2379913983E+13 -0.4026941831E+13  0.2355898033E+16  0.3848233793E+13 -0.2379913983E+13 -0.4026941831E+13
   7.078140150      0.1890303396E+16  0.4317624134E+13  0.1878992060E+16 -0.2844176473E+13 -0.5011506246E+13  0.2475204261E+16  0.4317624134E+13 -0.2844176473E+13 -0.5011506246E+13
   7.079140150      0.1983178598E+16  0.4337847636E+13  0.1972040091E+16 -0.1752798430E+13 -0.4273491171E+13  0.2599218532E+16  0.4337847636E+13 -0.1752798430E+13 -0.4273491171E+13
   7.080140150      0.2081681368E+16  0.4232615776E+13  0.2068284345E+16 -0.1470879885E+13 -0.5951316824E+13  0.2727309856E+16  0.4232615776E+13 -0.1470879885E+13 -0.5951316824E+13
   7.081140150      0.2182325234E+16  0.4842604627E+13  0.2169967011E+16 -0.2881358872E+13 -0.5193687912E+13  0.2859589729E+16  0.4842604627E+13 -0.2881358872E+13 -0.5193687912E+13
   7.082140150      0.2288126031E+16  0.5463786033E+13  0.2275262055E+16 -0.2990290965E+13 -0.6294025879E+13  0.2996482127E+16  0.5463786033E+13 -0.2990290965E+13 -0.6294025879E+13
   7.083140150      0.2399091744E+16  0.5496169002E+13  0.2385734269E+16 -0.3446922551E+13 -0.6459540696E+13  0.3143757953E+16  0.5496169002E+13 -0.3446922551E+13 -0.6459540696E+13
   7.084140150      0.2514071772E+16  0.4115282275E+13  0.2501117309E+16 -0.2316478530E+13 -0.5684141820E+13  0.3294045622E+16  0.4115282275E+13 -0.2316478530E+13 -0.5684141820E+13
   7.085140150      0.2637636335E+16  0.4298305417E+13  0.2624327043E+16 -0.2479604548E+13 -0.4772371818E+13  0.3453416837E+16  0.4298305417E+13 -0.2479604548E+13 -0.4772371818E+13
   7.086140150      0.2769088196E+16  0.4716293373E+13  0.2753770777E+16 -0.1543255501E+13 -0.6884604077E+13  0.3622780640E+16  0.4716293373E+13 -0.1543255501E+13 -0.6884604077E+13
   7.087140150      0.2901408873E+16  0.4601761445E+13  0.2886082522E+16 -0.2665314078E+13 -0.6707333811E+13  0.3798363428E+16  0.4601761445E+13 -0.2665314078E+13 -0.6707333811E+13
   7.088140150      0.3039745420E+16  0.5010984905E+13  0.3025451340E+16 -0.3240701444E+13 -0.6336206773E+13  0.3979500247E+16  0.5010984905E+13 -0.3240701444E+13 -0.6336206773E+13
   7.089140150      0.3185350610E+16  0.5658733734E+13  0.3170147488E+16 -0.2744359987E+13 -0.6917737502E+13  0.4169602354E+16  0.5658733734E+13 -0.2744359987E+13 -0.6917737502E+13
   7.090140150      0.3341500686E+16  0.5455869412E+13  0.3323636242E+16 -0.2356106739E+13 -0.8166799238E+13  0.4370198551E+16  0.5455869412E+13 -0.2356106739E+13 -0.8166799238E+13
   7.091140150      0.3497828326E+16  0.6658312560E+13  0.3481295510E+16 -0.3423554480E+13 -0.6592456433E+13  0.4577644785E+16  0.6658312560E+13 -0.3423554480E+13 -0.6592456433E+13
   7.092140150      0.3662422755E+16  0.5367862531E+13  0.3644473448E+16 -0.2409169735E+13 -0.7825093238E+13  0.4792989018E+16  0.5367862531E+13 -0.2409169735E+13 -0.7825093238E+13
   7.093140150      0.3831112668E+16  0.6463712379E+13  0.3811855362E+16 -0.2279627864E+13 -0.9185707844E+13  0.5014466805E+16  0.6463712379E+13 -0.2279627864E+13 -0.9185707844E+13
   7.094140150      0.4006539656E+16  0.6547940709E+13  0.3987414527E+16 -0.3444392317E+13 -0.8390394318E+13  0.5243299855E+16  0.6547940709E+13 -0.3444392317E+13 -0.8390394318E+13
   7.095140150      0.4190883802E+16  0.7951127963E+13  0.4170780915E+16 -0.4177595122E+13 -0.9728635029E+13  0.5485410775E+16  0.7951127963E+13 -0.4177595122E+13 -0.9728635029E+13
   7.096140150      0.4384658415E+16  0.6810177685E+13  0.4365391973E+16 -0.3693659746E+13 -0.9511967190E+13  0.5737627405E+16  0.6810177685E+13 -0.3693659746E+13 -0.9511967190E+13
   7.097140150      0.4586483025E+16  0.7253241584E+13  0.4566347748E+16 -0.3503660180E+13 -0.1028835113E+14  0.5998564697E+16  0.7253241584E+13 -0.3503660180E+13 -0.1028835113E+14
   7.098140150      0.4801057457E+16  0.6536352500E+13  0.4779176460E+16 -0.3848278241E+13 -0.1001462030E+14  0.6278903401E+16  0.6536352500E+13 -0.3848278241E+13 -0.1001462030E+14
   7.099140150      0.5023466699E+16  0.6350235203E+13  0.5000747294E+16 -0.2458253265E+13 -0.1031312770E+14  0.6572006300E+16  0.6350235203E+13 -0.2458253265E+13 -0.1031312770E+14
   7.100140150      0.5252273563E+16  0.6916447979E+13  0.5230550612E+16 -0.2846872526E+13 -0.9458232339E+13  0.6873413479E+16  0.6916447979E+13 -0.2846872526E+13 -0.9458232339E+13
